Evt     Eprim   Etot    LXe     LXeTime PMT     PMTTime Seed1           Seed2           First   Flags
#       MeV     MeV     hits    ns      hits    ns                                      hit

10    	0.0600	0.0600	50	1.7e-05	65	43.68	1684881312	641959018	gamma	gamma electron 
17    	0.0600	0.0600	71	5.2e-06	53	43.13	2113779682	1502606532	gamma	gamma electron 
35    	0.0600	0.0305	35	2.2e-06	26	38.53	1651681556	1743434202	gamma	gamma electron 
45    	0.0600	0.0192	31	1.4e-05	13	34.84	19748717	1109517868	e-	electron 
52    	0.0600	0.0264	50	1.3e-05	21	47.59	2096570730	1712721300	gamma	gamma electron 
55    	0.0600	0.0600	47	7.9e-06	68	46.75	1025447655	4390463	gamma	gamma electron 
56    	0.0600	0.0600	52	7.4e-06	46	45.35	966812664	2026337887	gamma	gamma electron 
59    	0.0600	0.0600	89	0.0016	115	45.71	1977564728	68857602	gamma	gamma electron 
62    	0.0600	0.0600	40	6.5e-06	57	51.2	1423692585	1540378215	gamma	gamma electron 
64    	0.0600	0.0600	69	0.00061	49	35.9	2069387662	1050146053	gamma	gamma electron 
68    	0.0600	0.0302	29	0.0016	73	43.5	389936655	453541286	gamma	gamma electron 
70    	0.0600	0.0600	61	0.0015	50	51.18	628649613	379102546	gamma	gamma electron 
71    	0.0600	0.0600	77	7.4e-06	35	41.7	325166188	1832583740	gamma	gamma electron 
76    	0.0600	0.0264	49	2.3e-05	18	38.82	1881485875	1762587199	gamma	gamma electron 
77    	0.0600	0.0600	68	8.1e-06	71	40.39	1647612211	990498346	gamma	gamma electron 
79    	0.0600	0.0305	29	2.2e-05	23	34.94	1878885038	1348279099	gamma	gamma electron 
82    	0.0600	0.0302	37	0.0016	32	50.52	379861938	981338848	gamma	gamma electron 
83    	0.0600	0.0600	68	1.3e-05	80	45.16	165565473	1883913237	gamma	gamma electron 
85    	0.0600	0.0305	25	9.3e-06	32	53.83	187512295	2093028919	gamma	gamma electron 
88    	0.0600	0.0600	90	9.8e-06	62	43.49	69181259	1822362308	gamma	gamma electron 
91    	0.0600	0.0305	35	5.4e-06	34	40.69	884710014	480990841	gamma	gamma electron 
94    	0.0600	0.0600	33	0.0013	66	42.22	165347714	1145762952	gamma	gamma electron 
96    	0.0600	0.0600	26	1.3e-05	60	46.06	1155366283	1670348574	gamma	gamma electron 
98    	0.0600	0.0302	47	0.00012	28	46.89	324517747	1735161041	gamma	gamma electron 
