Evt     Eprim   Etot    LXe     LXeTime PMT     PMTTime Seed1           Seed2           First   Flags
#       MeV     MeV     hits    ns      hits    ns                                      hit

4     	0.0600	0.0600	50	3.5e-05	94	42.28	1968182446	1716537691	gamma	gamma electron 
9     	0.0600	0.0302	22	9.3e-05	45	39.42	178687722	2075812368	gamma	gamma electron 
11    	0.0600	0.0302	28	1.9e-06	68	52.34	1887574559	2004746208	gamma	gamma electron 
14    	0.0600	0.0432	24	4.5e-06	66	52.63	615495875	1550302978	gamma	gamma electron 
16    	0.0600	0.0302	24	9.6e-06	34	52.27	2061184466	700290657	gamma	gamma electron 
23    	0.0600	0.0264	14	1.2e-05	42	45.27	128197683	1449164024	gamma	gamma electron 
25    	0.0600	0.0600	44	2e-05	95	46.82	1805119302	254041340	gamma	gamma electron 
26    	0.0600	0.0600	34	3.3e-05	100	43.49	1414849669	1507485379	gamma	gamma electron 
31    	0.0600	0.0600	52	1.7e-07	95	49.62	455884283	1106002838	gamma	gamma electron 
33    	0.0600	0.0202	11	3.4e-05	27	37.78	293111776	1509497695	e-	electron 
36    	0.0600	0.0600	34	9e-06	81	45.2	1113936874	802740258	gamma	gamma electron 
39    	0.0600	0.0434	30	5.7e-06	69	48.18	519976615	1289900628	gamma	gamma electron 
42    	0.0600	0.0600	28	1.3e-05	88	51.3	253648055	253013954	gamma	gamma electron 
43    	0.0600	0.0600	40	0.0013	97	48.36	93680843	1105969111	gamma	gamma electron 
45    	0.0600	0.0249	24	6.4e-05	32	50.97	637472031	271358370	e-	gamma electron 
46    	0.0600	0.0600	40	0.00022	93	48.89	1165413488	278736840	gamma	gamma electron 
54    	0.0600	0.0600	40	0.0022	120	50.61	1931680802	890037979	gamma	gamma electron 
55    	0.0600	0.0600	29	0.0028	168	42.32	372700570	648216116	gamma	gamma electron 
56    	0.0600	0.0305	20	2.3e-05	34	43.34	1905824942	388731321	gamma	gamma electron 
64    	0.0600	0.0264	16	1.4e-05	33	49.87	1227902049	1012831664	gamma	gamma electron 
65    	0.0600	0.0600	38	1.4e-05	84	47.71	502031473	675989546	gamma	gamma electron 
68    	0.0600	0.0600	26	4.3e-06	110	40.51	1768166508	1399241399	gamma	gamma electron 
71    	0.0600	0.0302	20	3.6e-06	46	52.45	1741221984	1907494518	gamma	gamma electron 
79    	0.0600	0.0600	44	7.1e-06	90	44.69	180521426	1813575673	gamma	gamma electron 
82    	0.0600	0.0600	41	4e-06	82	36.8	403119455	777773439	gamma	gamma electron 
84    	0.0600	0.0302	26	1.1e-05	40	50.64	521537416	569971182	gamma	gamma electron 
86    	0.0600	0.0600	33	1.2e-05	72	50.05	2096784665	1984097227	gamma	gamma electron 
93    	0.0600	0.0305	22	0.00012	51	57.23	1417887897	950369683	gamma	gamma electron 
94    	0.0600	0.0600	46	4.5e-06	99	41.94	589398397	1903169467	gamma	gamma electron 
97    	0.0600	0.0600	36	1e-05	93	44.53	199563742	172511666	gamma	gamma electron 
99    	0.0600	0.0600	56	5.2e-06	121	52.02	1379954648	783304824	gamma	gamma electron 
