         411
    2   25    2    3  0.19538240e+02  0.24846369e+02 -0.60465937e+01  0.30378159e+03
    2   23    4    5  0.11302123e+01 -0.23156443e+02  0.11416953e+03  0.89038048e+02
    2   23    6    7  0.18408028e+02  0.48002811e+02 -0.12021612e+03  0.90217377e+02
    1   13    0    0 -0.22464989e+02 -0.38451706e+02  0.20864853e+02  0.10570000e+00
    1  -13    0    0  0.23595201e+02  0.15295260e+02  0.93304688e+02  0.10570000e+00
    1   11    0    0  0.56072354e+00 -0.13617630e+02 -0.84170624e+02  0.50999998e-03
    1  -11    0    0  0.17847303e+02  0.61620441e+02 -0.36045494e+02  0.50999998e-03
    2   -2   51   51 -0.24825256e+01 -0.14315886e+01  0.28472370e+00  0.55999998e-02
    2   21   51   51  0.66146022e+00 -0.66755712e+00  0.81425560e+00  0.00000000e+00
    2   21   51   51  0.11284412e+00 -0.12166600e+00  0.19426866e+01  0.00000000e+00
    2   21   51   51 -0.72664952e+00  0.35631818e+00  0.11287285e+00  0.00000000e+00
    2   21   51   51 -0.12132846e+01 -0.13862884e+00  0.64822245e+01  0.00000000e+00
    2    2   51   51 -0.87098330e-01 -0.17324427e+00  0.70668072e-01  0.55999998e-02
    2    2   58   58  0.36495557e+01 -0.73652897e+01  0.82880411e+01  0.55999998e-02
    2   21   58   58  0.23490760e+00 -0.55826795e+00  0.16173358e+01  0.00000000e+00
    2   21   58   58  0.59331387e+00  0.26031549e+01  0.17713112e+01  0.00000000e+00
    2   21   58   58  0.78495450e-01 -0.12233107e+00  0.68161473e-01  0.00000000e+00
    2   21   58   58  0.12431704e+00  0.19548857e+00 -0.11572183e+02  0.00000000e+00
    2   21   58   58  0.43687469e+00 -0.20160186e+00 -0.11824560e+02  0.00000000e+00
    2   21   58   58  0.26381168e+01 -0.34718337e+01 -0.46374741e+02  0.00000000e+00
    2   21   58   58 -0.86590804e-01 -0.30970857e+00 -0.16267967e+01  0.00000000e+00
    2   21   58   58  0.16517977e+00  0.52066833e+00 -0.19957296e+01  0.00000000e+00
    2   21   58   58 -0.42709002e+01  0.28111598e+01 -0.10303283e+02  0.00000000e+00
