19
0.000     0.0     0.0     0.0     1.0
0.207     0.8     0.5     0.5     1.0
0.227     0.8     0.5     0.5     1.0
0.481     0.7     0.7     0.7     1.0
0.534     0.7     0.7     0.7     1.0
0.919     1.0     0.8     0.8     1.0
0.979     1.0     0.8     0.8     1.0
0.980     0.9     0.0     0.9     1.0
1.004     0.9     0.0     0.9     1.0
1.005     0.9     0.8     0.8     1.0
1.043     0.9     0.8     0.8     1.0
1.044     0.8     0.3     0.3     1.0
1.109     0.8     0.3     0.3     1.0
1.114     0.9     0.9     0.9     1.0
1.217     0.9     0.9     0.9     1.0
1.496     1.0     1.0     1.0     1.0
1.856     1.0     1.0     1.0     1.0
2.000     0.8     0.8     0.8     1.0
4.000     0.0     0.0     0.0     1.0
density   red     green   blue    opacity
