1.00     1.03465
1.25     1.03475
1.50     1.03487
1.75     1.03502
2.00     1.03519
2.25     1.03539
2.50     1.03562
2.75     1.03587
3.00     1.03615
3.25     1.03646
3.50     1.03681
3.75     1.03719
4.00     1.03761
4.25     1.03808
4.50     1.03858
4.75     1.03914
5.00     1.03975
5.25     1.04042
5.50     1.04116
5.75     1.04197
6.00     1.04287
6.25     1.04387
6.50     1.04498
6.75     1.04622
7.00     1.04761
7.25     1.04920
7.50     1.05101
7.75     1.05310
8.00     1.05554
8.25     1.05844
8.50     1.06194
8.75     1.06626
9.00     1.07176
9.25     1.07905
9.50     1.08920
9.75     1.10449
 
