LIST
C 
C  dE/dx (MeV/cm) for proton in Lead
C
KINE  14 (proton)
MATE   8 (Lead)
ERAN  1.00e-05 (ekmin)	1.00e+04 (ekmax)	90 (nekbin)
CUTS  1.00e+04 (cutgam)	1.00e+04 (cutele)
G4VAL 
 5.528685e+02	6.127840e+02	6.785562e+02	7.507710e+02	8.296426e+02	
 9.150847e+02	1.006471e+03	1.102258e+03	1.199429e+03	1.292777e+03	
 1.374216e+03	1.432700e+03	1.455776e+03	1.433706e+03	1.365147e+03	
 1.260313e+03	1.137484e+03	1.014631e+03	9.028520e+02	8.054591e+02	
 7.208861e+02	6.459676e+02	5.779059e+02	5.149295e+02	4.607294e+02	
 4.071154e+02	3.560801e+02	3.088455e+02	2.660315e+02	2.280696e+02	
 1.971857e+02	1.673380e+02	1.420450e+02	1.209950e+02	1.032981e+02	
 8.824181e+01	7.535087e+01	6.430673e+01	5.487526e+01	4.686418e+01	
 4.010323e+01	3.443681e+01	2.972234e+01	2.583061e+01	2.264615e+01	
 2.006739e+01	1.800608e+01	1.638637e+01	1.514349e+01	1.422226e+01	
 1.357556e+01	1.316281e+01	1.294872e+01	1.290223e+01	1.299448e+01	
 1.318863e+01	1.345990e+01	1.378912e+01	1.415988e+01	1.455855e+01	
 1.497417e+01	1.539817e+01	1.582409e+01	1.624716e+01	1.666402e+01	
 1.707233e+01	1.747057e+01	1.785779e+01	1.823346e+01	1.859732e+01	
 1.894932e+01	1.928951e+01	1.961805e+01	1.993513e+01	2.024099e+01	
 2.053593e+01	2.082027e+01	2.109442e+01	2.135884e+01	2.161407e+01	
 2.186077e+01	2.209934e+01	2.232973e+01	2.255200e+01	2.276635e+01	
 2.297317e+01	2.317301e+01	2.336650e+01	2.355433e+01	2.373721e+01	
