"","alpha_x","beta_x","r_nucleus","D_t","specific_energy","let","alpha","beta","alpha_sigma","beta_sigma","cell","particle","RBE_alpha"
"1",0.34,0.03,4.5,5,172.698,0.5,0.400763,0.0239116,0,0,"ARPE19","H",1.17871470588235
"2",0.34,0.03,4.5,5,143.534,0.567824,0.409866,0.0229987,0,0,"ARPE19","H",1.20548823529412
"3",0.34,0.03,4.5,5,119.965,0.644847,0.413762,0.0226064,0,0,"ARPE19","H",1.21694705882353
"4",0.34,0.03,4.5,5,100.952,0.732319,0.422874,0.0216917,0,0,"ARPE19","H",1.24374705882353
"5",0.34,0.03,4.5,5,85.4798,0.831656,0.422334,0.0217421,0,0,"ARPE19","H",1.24215882352941
"6",0.34,0.03,4.5,5,72.4215,0.944468,0.426673,0.0213037,0,0,"ARPE19","H",1.25492058823529
"7",0.34,0.03,4.5,5,61.3953,1.07258,0.434191,0.0205463,0,0,"ARPE19","H",1.27703235294118
"8",0.34,0.03,4.5,5,52.3329,1.21808,0.43621,0.0203383,0,0,"ARPE19","H",1.28297058823529
"9",0.34,0.03,4.5,5,44.5844,1.3833,0.439904,0.0199616,0,0,"ARPE19","H",1.29383529411765
"10",0.34,0.03,4.5,5,38.033,1.57095,0.446189,0.0193242,0,0,"ARPE19","H",1.31232058823529
"11",0.34,0.03,4.5,5,32.4783,1.78404,0.450181,0.0189147,0,0,"ARPE19","H",1.32406176470588
"12",0.34,0.03,4.5,5,27.7871,2.02604,0.45895,0.018025,0,0,"ARPE19","H",1.34985294117647
"13",0.34,0.03,4.5,5,23.8148,2.30087,0.462283,0.0176775,0,0,"ARPE19","H",1.35965588235294
"14",0.34,0.03,4.5,5,20.3604,2.61297,0.472848,0.0166031,0,0,"ARPE19","H",1.39072941176471
"15",0.34,0.03,4.5,5,17.41,2.96741,0.47993,0.0158743,0,0,"ARPE19","H",1.41155882352941
"16",0.34,0.03,4.5,5,14.8921,3.36994,0.49104,0.0147384,0,0,"ARPE19","H",1.44423529411765
"17",0.34,0.03,4.5,5,12.7468,3.82706,0.501395,0.0136736,0,0,"ARPE19","H",1.47469117647059
"18",0.34,0.03,4.5,5,10.8957,4.34619,0.51212,0.0125736,0,0,"ARPE19","H",1.50623529411765
"19",0.34,0.03,4.5,5,9.32672,4.93574,0.522549,0.0115004,0,0,"ARPE19","H",1.53690882352941
"20",0.34,0.03,4.5,5,7.95205,5.60526,0.539468,0.0097732,0,0,"ARPE19","H",1.58667058823529
"21",0.34,0.03,4.5,5,6.79001,6.36559,0.557046,0.007974,0,0,"ARPE19","H",1.63837058823529
"22",0.34,0.03,4.5,5,5.79218,7.22907,0.575899,0.00604401,0,0,"ARPE19","H",1.69382058823529
"23",0.34,0.03,4.5,5,4.93205,8.20967,0.598306,0.00375045,0,0,"ARPE19","H",1.75972352941176
"24",0.34,0.03,4.5,5,4.20451,9.32329,0.623791,0.0011435,0,0,"ARPE19","H",1.83467941176471
"25",0.34,0.03,4.5,5,3.56668,10.588,0.660056,0,0,0,"ARPE19","H",1.94134117647059
"26",0.34,0.03,4.5,5,3.02632,12.0242,0.687002,0,0,0,"ARPE19","H",2.02059411764706
"27",0.34,0.03,4.5,5,2.56754,13.6552,0.729675,0,0,0,"ARPE19","H",2.14610294117647
"28",0.34,0.03,4.5,5,2.16897,15.5075,0.783088,0,0,0,"ARPE19","H",2.3032
"29",0.34,0.03,4.5,5,1.81094,17.6111,0.838564,0,0,0,"ARPE19","H",2.46636470588235
"30",0.34,0.03,4.5,5,1.48675,20,0.936898,0,0,0,"ARPE19","H",2.75558235294118
"31",0.34,0.03,4.5,5,21.4706,10,0.533252,0.0102267,0,0,"ARPE19","He",1.56838823529412
"32",0.34,0.03,4.5,5,19.1623,10.9788,0.545151,0.00897839,0,0,"ARPE19","He",1.60338529411765
"33",0.34,0.03,4.5,5,17.0551,12.0534,0.56012,0.00741512,0,0,"ARPE19","He",1.64741176470588
"34",0.34,0.03,4.5,5,15.2159,13.2332,0.577734,0.00557953,0,0,"ARPE19","He",1.69921764705882
"35",0.34,0.03,4.5,5,13.5792,14.5285,0.594223,0.00384901,0,0,"ARPE19","He",1.74771470588235
"36",0.34,0.03,4.5,5,12.1219,15.9505,0.60616,0.00257071,0,0,"ARPE19","He",1.78282352941176
"37",0.34,0.03,4.5,5,10.8174,17.5117,0.626109,0.000494814,0,0,"ARPE19","He",1.84149705882353
"38",0.34,0.03,4.5,5,9.62763,19.2258,0.64962,0,0,0,"ARPE19","He",1.91064705882353
"39",0.34,0.03,4.5,5,8.58027,21.1076,0.677783,0,0,0,"ARPE19","He",1.99347941176471
"40",0.34,0.03,4.5,5,7.64628,23.1736,0.700854,0,0,0,"ARPE19","He",2.06133529411765
"41",0.34,0.03,4.5,5,6.80913,25.4419,0.747038,0,0,0,"ARPE19","He",2.19717058823529
"42",0.34,0.03,4.5,5,6.06977,27.9321,0.781595,0,0,0,"ARPE19","He",2.29880882352941
"43",0.34,0.03,4.5,5,5.40612,30.6661,0.819564,0,0,0,"ARPE19","He",2.41048235294118
"44",0.34,0.03,4.5,5,4.8081,33.6677,0.864735,0,0,0,"ARPE19","He",2.54333823529412
"45",0.34,0.03,4.5,5,4.26771,36.9631,0.909792,0,0,0,"ARPE19","He",2.67585882352941
"46",0.34,0.03,4.5,5,3.79522,40.581,0.977364,0,0,0,"ARPE19","He",2.8746
"47",0.34,0.03,4.5,5,3.37518,44.5531,1.01318,0,0,0,"ARPE19","He",2.97994117647059
"48",0.34,0.03,4.5,5,2.99611,48.914,1.08413,0,0,0,"ARPE19","He",3.18861764705882
"49",0.34,0.03,4.5,5,2.66595,53.7017,1.17395,0,0,0,"ARPE19","He",3.45279411764706
"50",0.34,0.03,4.5,5,2.35457,58.958,1.21579,0,0,0,"ARPE19","He",3.57585294117647
"51",0.34,0.03,4.5,5,2.01885,64.7288,1.32969,0,0,0,"ARPE19","He",3.91085294117647
"52",0.34,0.03,4.5,5,1.77592,71.0644,1.42501,0,0,0,"ARPE19","He",4.19120588235294
"53",0.34,0.03,4.5,5,1.56138,78.0202,1.50812,0,0,0,"ARPE19","He",4.43564705882353
"54",0.34,0.03,4.5,5,1.36875,85.6568,1.59979,0,0,0,"ARPE19","He",4.70526470588235
"55",0.34,0.03,4.5,5,1.20063,94.0409,1.71055,0,0,0,"ARPE19","He",5.03102941176471
"56",0.34,0.03,4.5,5,1.04925,103.246,1.80286,0,0,0,"ARPE19","He",5.3025294117647
"57",0.34,0.03,4.5,5,0.911643,113.351,1.90725,0,0,0,"ARPE19","He",5.60955882352941
"58",0.34,0.03,4.5,5,0.791541,124.446,1.97151,0,0,0,"ARPE19","He",5.79855882352941
"59",0.34,0.03,4.5,5,0.682721,136.627,2.02612,0,0,0,"ARPE19","He",5.95917647058824
"60",0.34,0.03,4.5,5,0.586436,150,2.068,0,0,0,"ARPE19","He",6.08235294117647
"61",0.34,0.03,4.5,5,35.3903,15,0.548638,0.00851418,0,0,"ARPE19","Li",1.61364117647059
"62",0.34,0.03,4.5,5,31.7426,16.4015,0.562696,0.00703105,0,0,"ARPE19","Li",1.65498823529412
"63",0.34,0.03,4.5,5,28.4201,17.9338,0.570884,0.00612924,0,0,"ARPE19","Li",1.67907058823529
"64",0.34,0.03,4.5,5,25.4675,19.6094,0.585778,0.00454488,0,0,"ARPE19","Li",1.72287647058824
"65",0.34,0.03,4.5,5,22.8237,21.4415,0.604281,0.00258905,0,0,"ARPE19","Li",1.77729705882353
"66",0.34,0.03,4.5,5,20.4934,23.4448,0.625176,0.000384341,0,0,"ARPE19","Li",1.83875294117647
