"","alpha_x","beta_x","r_nucleus","D_t","specific_energy","let","alpha","beta","alpha_sigma","beta_sigma","cell","particle","RBE_alpha"
"1",0.34,0.03,4.5,6,172.698,0.5,0.347549,0.0293646,0,0,"ARPE19","H",1.02220294117647
"2",0.34,0.03,4.5,6,143.534,0.567824,0.350364,0.0291285,0,0,"ARPE19","H",1.03048235294118
"3",0.34,0.03,4.5,6,119.965,0.644847,0.354221,0.0288051,0,0,"ARPE19","H",1.04182647058824
"4",0.34,0.03,4.5,6,100.952,0.732319,0.337849,0.0301684,0,0,"ARPE19","H",0.993673529411765
"5",0.34,0.03,4.5,6,85.4798,0.831656,0.33459,0.0304378,0,0,"ARPE19","H",0.984088235294118
"6",0.34,0.03,4.5,6,72.4215,0.944468,0.344717,0.0295903,0,0,"ARPE19","H",1.01387352941176
"7",0.34,0.03,4.5,6,61.3953,1.07258,0.347396,0.0293632,0,0,"ARPE19","H",1.02175294117647
"8",0.34,0.03,4.5,6,52.3329,1.21808,0.353267,0.028869,0,0,"ARPE19","H",1.03902058823529
"9",0.34,0.03,4.5,6,44.5844,1.3833,0.361636,0.0281653,0,0,"ARPE19","H",1.06363529411765
"10",0.34,0.03,4.5,6,38.033,1.57095,0.365532,0.0278334,0,0,"ARPE19","H",1.07509411764706
"11",0.34,0.03,4.5,6,32.4783,1.78404,0.375548,0.0269892,0,0,"ARPE19","H",1.10455294117647
"12",0.34,0.03,4.5,6,27.7871,2.02604,0.383003,0.0263567,0,0,"ARPE19","H",1.12647941176471
"13",0.34,0.03,4.5,6,23.8148,2.30087,0.390639,0.0257068,0,0,"ARPE19","H",1.14893823529412
"14",0.34,0.03,4.5,6,20.3604,2.61297,0.399375,0.024962,0,0,"ARPE19","H",1.17463235294118
"15",0.34,0.03,4.5,6,17.41,2.96741,0.408653,0.0241684,0,0,"ARPE19","H",1.20192058823529
"16",0.34,0.03,4.5,6,14.8921,3.36994,0.418738,0.023303,0,0,"ARPE19","H",1.23158235294118
"17",0.34,0.03,4.5,6,12.7468,3.82706,0.429229,0.0223986,0,0,"ARPE19","H",1.26243823529412
"18",0.34,0.03,4.5,6,10.8957,4.34619,0.440202,0.0214581,0,0,"ARPE19","H",1.29471176470588
"19",0.34,0.03,4.5,6,9.32672,4.93574,0.453566,0.0203154,0,0,"ARPE19","H",1.33401764705882
"20",0.34,0.03,4.5,6,7.95205,5.60526,0.464257,0.0193922,0,0,"ARPE19","H",1.36546176470588
"21",0.34,0.03,4.5,6,6.79001,6.36559,0.480455,0.0180017,0,0,"ARPE19","H",1.41310294117647
"22",0.34,0.03,4.5,6,5.79218,7.22907,0.495408,0.0167131,0,0,"ARPE19","H",1.45708235294118
"23",0.34,0.03,4.5,6,4.93205,8.20967,0.517465,0.0148207,0,0,"ARPE19","H",1.52195588235294
"24",0.34,0.03,4.5,6,4.20451,9.32329,0.536729,0.0131555,0,0,"ARPE19","H",1.57861470588235
"25",0.34,0.03,4.5,6,3.56668,10.588,0.562329,0.0109537,0,0,"ARPE19","H",1.65390882352941
"26",0.34,0.03,4.5,6,3.02632,12.0242,0.593334,0.00829013,0,0,"ARPE19","H",1.7451
"27",0.34,0.03,4.5,6,2.56754,13.6552,0.624229,0.00562677,0,0,"ARPE19","H",1.83596764705882
"28",0.34,0.03,4.5,6,2.16897,15.5075,0.665183,0.00211474,0,0,"ARPE19","H",1.95642058823529
"29",0.34,0.03,4.5,6,1.81094,17.6111,0.717758,0,0,0,"ARPE19","H",2.11105294117647
"30",0.34,0.03,4.5,6,1.48675,20,0.787506,0,0,0,"ARPE19","H",2.31619411764706
"31",0.34,0.03,4.5,6,21.4706,10,0.43097,0.0220606,0,0,"ARPE19","He",1.26755882352941
"32",0.34,0.03,4.5,6,19.1623,10.9788,0.437501,0.0214608,0,0,"ARPE19","He",1.28676764705882
"33",0.34,0.03,4.5,6,17.0551,12.0534,0.446248,0.0206662,0,0,"ARPE19","He",1.31249411764706
"34",0.34,0.03,4.5,6,15.2159,13.2332,0.454731,0.0198847,0,0,"ARPE19","He",1.33744411764706
"35",0.34,0.03,4.5,6,13.5792,14.5285,0.463486,0.0190698,0,0,"ARPE19","He",1.36319411764706
"36",0.34,0.03,4.5,6,12.1219,15.9505,0.473371,0.0181563,0,0,"ARPE19","He",1.39226764705882
"37",0.34,0.03,4.5,6,10.8174,17.5117,0.486081,0.0170149,0,0,"ARPE19","He",1.42965
"38",0.34,0.03,4.5,6,9.62763,19.2258,0.496522,0.0160647,0,0,"ARPE19","He",1.46035882352941
"39",0.34,0.03,4.5,6,8.58027,21.1076,0.512302,0.0146481,0,0,"ARPE19","He",1.50677058823529
"40",0.34,0.03,4.5,6,7.64628,23.1736,0.526291,0.0133714,0,0,"ARPE19","He",1.54791470588235
"41",0.34,0.03,4.5,6,6.80913,25.4419,0.542979,0.0118577,0,0,"ARPE19","He",1.59699705882353
"42",0.34,0.03,4.5,6,6.06977,27.9321,0.562576,0.0100883,0,0,"ARPE19","He",1.65463529411765
"43",0.34,0.03,4.5,6,5.40612,30.6661,0.583629,0.00819274,0,0,"ARPE19","He",1.71655588235294
"44",0.34,0.03,4.5,6,4.8081,33.6677,0.609327,0.00588947,0,0,"ARPE19","He",1.79213823529412
"45",0.34,0.03,4.5,6,4.26771,36.9631,0.636606,0.00343796,0,0,"ARPE19","He",1.87237058823529
"46",0.34,0.03,4.5,6,3.79522,40.581,0.670062,0.000460754,0,0,"ARPE19","He",1.97077058823529
"47",0.34,0.03,4.5,6,3.37518,44.5531,0.708422,0,0,0,"ARPE19","He",2.08359411764706
"48",0.34,0.03,4.5,6,2.99611,48.914,0.757967,0,0,0,"ARPE19","He",2.22931470588235
"49",0.34,0.03,4.5,6,2.66595,53.7017,0.806253,0,0,0,"ARPE19","He",2.37133235294118
"50",0.34,0.03,4.5,6,2.35457,58.958,0.858485,0,0,0,"ARPE19","He",2.52495588235294
"51",0.34,0.03,4.5,6,2.01885,64.7288,0.959561,0,0,0,"ARPE19","He",2.82223823529412
"52",0.34,0.03,4.5,6,1.77592,71.0644,1.03719,0,0,0,"ARPE19","He",3.05055882352941
"53",0.34,0.03,4.5,6,1.56138,78.0202,1.14401,0,0,0,"ARPE19","He",3.36473529411765
"54",0.34,0.03,4.5,6,1.36875,85.6568,1.23144,0,0,0,"ARPE19","He",3.62188235294118
"55",0.34,0.03,4.5,6,1.20063,94.0409,1.34043,0,0,0,"ARPE19","He",3.94244117647059
"56",0.34,0.03,4.5,6,1.04925,103.246,1.46351,0,0,0,"ARPE19","He",4.30444117647059
"57",0.34,0.03,4.5,6,0.911643,113.351,1.58385,0,0,0,"ARPE19","He",4.65838235294118
"58",0.34,0.03,4.5,6,0.791541,124.446,1.72898,0,0,0,"ARPE19","He",5.08523529411765
"59",0.34,0.03,4.5,6,0.682721,136.627,1.85711,0,0,0,"ARPE19","He",5.46208823529412
"60",0.34,0.03,4.5,6,0.586436,150,1.93897,0,0,0,"ARPE19","He",5.70285294117647
"61",0.34,0.03,4.5,6,35.3903,15,0.420416,0.0228554,0,0,"ARPE19","Li",1.23651764705882
"62",0.34,0.03,4.5,6,31.7426,16.4015,0.426564,0.0222766,0,0,"ARPE19","Li",1.2546
"63",0.34,0.03,4.5,6,28.4201,17.9338,0.432821,0.021679,0,0,"ARPE19","Li",1.27300294117647
"64",0.34,0.03,4.5,6,25.4675,19.6094,0.440382,0.0209608,0,0,"ARPE19","Li",1.29524117647059
"65",0.34,0.03,4.5,6,22.8237,21.4415,0.446649,0.02034,0,0,"ARPE19","Li",1.31367352941176
"66",0.34,0.03,4.5,6,20.4934,23.4448,0.455034,0.0195269,0,0,"ARPE19","Li",1.33833529411765
"67",0.34,0.03,4.5,6,18.3744,25.6352,0.463392,0.0187003,0,0,"ARPE19","Li",1.36291764705882
"68",0.34,0.03,4.5,6,16.4924,28.0303,0.473753,0.0176869,0,0,"ARPE19","Li",1.39339117647059
"69",0.34,0.03,4.5,6,14.7934,30.6492,0.484261,0.0166415,0,0,"ARPE19","Li",1.42429705882353
"70",0.34,0.03,4.5,6,13.2665,33.5128,0.494714,0.0155787,0,0,"ARPE19","Li",1.45504117647059
"71",0.34,0.03,4.5,6,11.9006,36.6439,0.506325,0.0144316,0,0,"ARPE19","Li",1.48919117647059
"72",0.34,0.03,4.5,6,10.6848,40.0675,0.520137,0.0131035,0,0,"ARPE19","Li",1.52981470588235
"73",0.34,0.03,4.5,6,9.55217,43.811,0.537541,0.0114507,0,0,"ARPE19","Li",1.58100294117647
"74",0.34,0.03,4.5,6,8.55177,47.9043,0.557141,0.00959793,0,0,"ARPE19","Li",1.63865
"75",0.34,0.03,4.5,6,7.67132,52.38,0.574841,0.0078888,0,0,"ARPE19","Li",1.69070882352941
"76",0.34,0.03,4.5,6,6.87496,57.2738,0.597414,0.00575093,0,0,"ARPE19","Li",1.7571
"77",0.34,0.03,4.5,6,6.15937,62.6249,0.626294,0.00306758,0,0,"ARPE19","Li",1.84204117647059
"78",0.34,0.03,4.5,6,5.50263,68.476,0.652767,0.000567186,0,0,"ARPE19","Li",1.91990294117647
"79",0.34,0.03,4.5,6,4.92384,74.8737,0.691729,0,0,0,"ARPE19","Li",2.03449705882353
"80",0.34,0.03,4.5,6,4.40658,81.8691,0.729225,0,0,0,"ARPE19","Li",2.14477941176471
"81",0.34,0.03,4.5,6,3.93699,89.5181,0.775159,0,0,0,"ARPE19","Li",2.27987941176471
"82",0.34,0.03,4.5,6,3.52447,97.8818,0.827683,0,0,0,"ARPE19","Li",2.43436176470588
"83",0.34,0.03,4.5,6,3.15414,107.027,0.887954,0,0,0,"ARPE19","Li",2.61162941176471
"84",0.34,0.03,4.5,6,2.817,117.026,0.952185,0,0,0,"ARPE19","Li",2.80054411764706
"85",0.34,0.03,4.5,6,2.51864,127.96,1.0094,0,0,0,"ARPE19","Li",2.96882352941176
"86",0.34,0.03,4.5,6,2.20325,139.916,1.09158,0,0,0,"ARPE19","Li",3.21052941176471
"87",0.34,0.03,4.5,6,1.8911,152.988,1.17673,0,0,0,"ARPE19","Li",3.46097058823529
"88",0.34,0.03,4.5,6,1.65793,167.282,1.25333,0,0,0,"ARPE19","Li",3.68626470588235
"89",0.34,0.03,4.5,6,1.45149,182.911,1.32818,0,0,0,"ARPE19","Li",3.90641176470588
"90",0.34,0.03,4.5,6,1.26999,200,1.38533,0,0,0,"ARPE19","Li",4.0745
"91",0.34,0.03,4.5,6,70.0545,15,0.397245,0.0248993,0,0,"ARPE19","Be",1.16836764705882
"92",0.34,0.03,4.5,6,61.9193,16.5281,0.403193,0.0243473,0,0,"ARPE19","Be",1.18586176470588
"93",0.34,0.03,4.5,6,54.845,18.212,0.408721,0.0238222,0,0,"ARPE19","Be",1.20212058823529
"94",0.34,0.03,4.5,6,48.6743,20.0673,0.414905,0.0232319,0,0,"ARPE19","Be",1.22030882352941
"95",0.34,0.03,4.5,6,43.1178,22.1117,0.421952,0.0225563,0,0,"ARPE19","Be",1.24103529411765
"96",0.34,0.03,4.5,6,38.2667,24.3644,0.427062,0.0220323,0,0,"ARPE19","Be",1.25606470588235
"97",0.34,0.03,4.5,6,34.0105,26.8465,0.434813,0.0212692,0,0,"ARPE19","Be",1.27886176470588
"98",0.34,0.03,4.5,6,30.1719,29.5815,0.442164,0.0205218,0,0,"ARPE19","Be",1.30048235294118
"99",0.34,0.03,4.5,6,26.5084,32.5951,0.450965,0.0196273,0,0,"ARPE19","Be",1.32636764705882
"100",0.34,0.03,4.5,6,23.5709,35.9158,0.459858,0.0187057,0,0,"ARPE19","Be",1.35252352941176
"101",0.34,0.03,4.5,6,21.0924,39.5748,0.469082,0.0177325,0,0,"ARPE19","Be",1.37965294117647
"102",0.34,0.03,4.5,6,18.9068,43.6065,0.478524,0.016713,0,0,"ARPE19","Be",1.40742352941176
"103",0.34,0.03,4.5,6,17.0485,48.0489,0.489683,0.0155183,0,0,"ARPE19","Be",1.44024411764706
"104",0.34,0.03,4.5,6,15.3578,52.944,0.50087,0.0142855,0,0,"ARPE19","Be",1.47314705882353
"105",0.34,0.03,4.5,6,13.8375,58.3377,0.513577,0.0128838,0,0,"ARPE19","Be",1.51052058823529
"106",0.34,0.03,4.5,6,12.4314,64.2809,0.528623,0.0112651,0,0,"ARPE19","Be",1.55477352941176
"107",0.34,0.03,4.5,6,11.1427,70.8296,0.545623,0.00951328,0,0,"ARPE19","Be",1.60477352941176
"108",0.34,0.03,4.5,6,9.97082,78.0454,0.566113,0.00743331,0,0,"ARPE19","Be",1.66503823529412
"109",0.34,0.03,4.5,6,8.89391,85.9964,0.590135,0.00501971,0,0,"ARPE19","Be",1.73569117647059
"110",0.34,0.03,4.5,6,7.92719,94.7573,0.618922,0.00217943,0,0,"ARPE19","Be",1.82035882352941
"111",0.34,0.03,4.5,6,7.03306,104.411,0.650946,0,0,0,"ARPE19","Be",1.91454705882353
"112",0.34,0.03,4.5,6,6.22288,115.048,0.685469,0,0,0,"ARPE19","Be",2.01608529411765
"113",0.34,0.03,4.5,6,5.49958,126.768,0.735999,0,0,0,"ARPE19","Be",2.16470294117647
"114",0.34,0.03,4.5,6,4.8585,139.683,0.78699,0,0,0,"ARPE19","Be",2.31467647058824
"115",0.34,0.03,4.5,6,4.27525,153.913,0.836103,0,0,0,"ARPE19","Be",2.45912647058824
"116",0.34,0.03,4.5,6,3.767,169.593,0.883872,0,0,0,"ARPE19","Be",2.59962352941176
"117",0.34,0.03,4.5,6,3.31408,186.871,0.941174,0,0,0,"ARPE19","Be",2.76815882352941
"118",0.34,0.03,4.5,6,2.92237,205.909,0.997674,0,0,0,"ARPE19","Be",2.93433529411765
"119",0.34,0.03,4.5,6,2.57181,226.886,1.0471,0,0,0,"ARPE19","Be",3.07970588235294
"120",0.34,0.03,4.5,6,2.22349,250,1.08734,0,0,0,"ARPE19","Be",3.19805882352941
"121",0.34,0.03,4.5,6,126.761,15,0.382823,0.026175,0,0,"ARPE19","B",1.12595
"122",0.34,0.03,4.5,6,110.115,16.6324,0.387466,0.0257406,0,0,"ARPE19","B",1.13960588235294
