DATA 4
Depth Ionization Err1 Err2
2.22967614442  1.50466086821	0.0374267067098  0.0182144389407
4.24434780348  1.54545809119	0.0374267067098  0.0182144389407
5.21448444427  1.54748625141	0.0374267067098  0.0182144389407
6.25901946254  1.58625531417	0.0374267067098  0.0182144389407
7.22938362131  1.55169858419	0.0374267067098  0.0182144389407
8.27437367552  1.51729786653	0.0374267067098  0.0182144389407
9.24451031631  1.51932602676	0.0374267067098  0.0182144389407
10.2148744751  1.48476929677	0.0374267067098  0.0182144389407
11.2594094933  1.52353835953	0.0374267067098  0.0182144389407
12.3043995476  1.48913764187	0.0374267067098  0.0182144389407
13.2745361884  1.4911658021	0.0374267067098  0.0182144389407
14.3192987246  1.49334997465	0.0374267067098  0.0182144389407
15.214581952  1.53180701275	0.0374267067098  0.0182144389407
16.2593444882  1.5339911853	0.0374267067098  0.0182144389407
17.3041070245  1.53617535785	0.0374267067098  0.0182144389407
18.2740161473  1.57478840828	0.0374267067098  0.0182144389407
19.2441527881  1.57681656851	0.0374267067098  0.0182144389407
20.3633137018  1.61574164359	0.0374267067098  0.0182144389407
21.3329953066  1.69093958423	0.0374267067098  0.0182144389407
22.3029044294  1.72955263466	0.0374267067098  0.0182144389407
22.7502047662  1.80365848902	0.0374267067098  0.0182144389407
23.3469844118  1.84149147783	0.0374267067098  0.0182144389407
23.7945122665  1.87901244198	0.0374267067098  0.0182144389407
24.2418126032  1.95311829635	0.0374267067098  0.0182144389407
24.8381372128  2.06412106556	0.0374267067098  0.0182144389407
25.2108116541  2.1380709076	0.0374267067098  0.0182144389407
25.5088602  2.21186473731	0.0374267067098  0.0182144389407
25.7322828503  2.2855025547	0.0374267067098  0.0182144389407
26.0303313962  2.35929638441	0.0374267067098  0.0182144389407
26.2542090825  2.35976442139	0.0374267067098  0.0182144389407
26.476949179  2.5431569094	0.0374267067098  0.0182144389407
26.625518416  2.65322360466	0.0374267067098  0.0182144389407
26.7743151709  2.72670540973	0.0374267067098  0.0182144389407
26.9226568899  2.8733569952	0.0374267067098  0.0182144389407
26.9963727134  3.01985256835	0.0374267067098  0.0182144389407
27.1442593965  3.23967393424	0.0374267067098  0.0182144389407
27.2170651481  3.53250906822	0.0374267067098  0.0182144389407
27.2900984178  3.78875931199	0.0374267067098  0.0182144389407
27.3635867234  3.97183977534	0.0374267067098  0.0182144389407
27.3626766515  4.11817933617	0.0374267067098  0.0182144389407
27.3615390616  4.3011037872	0.0374267067098  0.0182144389407
27.4345723312  4.55735403097	0.0374267067098  0.0182144389407
27.4318421155  4.99637271344	0.0374267067098  0.0182144389407
27.5055579391  5.14286828659	0.0374267067098  0.0182144389407
27.5046478672  5.28920784742	0.0374267067098  0.0182144389407
27.5820039783  4.85034517727	0.0374267067098  0.0182144389407
27.584961712  4.37474160459	0.0374267067098  0.0182144389407
27.5883744816  3.82596825149	0.0374267067098  0.0182144389407
27.6639104489  3.67978470299	0.0374267067098  0.0182144389407
27.6677782545  3.05784156948	0.0374267067098  0.0182144389407
27.672101096  2.36272865556	0.0374267067098  0.0182144389407
27.750139761  1.81411131479	0.0374267067098  0.0182144389407
27.7528699767  1.37509263232	0.0374267067098  0.0182144389407
27.7546901205  1.08241351067	0.0374267067098  0.0182144389407
27.7558277104  0.899489059636	0.0374267067098  0.0182144389407
27.8315911957  0.716720620929	0.0374267067098  0.0182144389407
28.2049481909  0.680915792348	0.0374267067098  0.0182144389407
29.2499382451  0.646515074691	0.0374267067098  0.0182144389407
30.2949282993  0.612114357034	0.0374267067098  0.0182144389407
31.2655199761  0.540972736846	0.0374267067098  0.0182144389407
32.2358841348  0.506416006865	0.0374267067098  0.0182144389407
33.2808741891  0.472015289208	0.0374267067098  0.0182144389407
