53
air		1.	0.	1.	0.
teeth		1.	1.	1.	1.
bone		1.	1.	1.	1.
humeri_upper 	1.	1.	1.	1.
humeri_lower	1.	1.	1.	1.
arm_lower	1.	1.	0.	1.
hand		1.	1.	0.	1.
clavicle	1.	1.	1.	1.
cranium		1.	1.	1.	1.
femora_upper	1.	1.	1.	1.
femora_lower	1.	1.	1.	1.
leg_lower	1.	1.	0.	1.
foot		1.	1.	0.	1.
mandible	1.	1.	1.	1.
pelvis		1.	1.	1.	1.
ribs		1.	1.	1.	1.
scapulae	1.	1.	1.	1.
spine_cervical	1.	1.	1.	1.
spine_thoratic	1.	1.	1.	1.
spine_lumbar	1.	1.	1.	1.
sacrum		1.	1.	1.	1.
sternum		1.	1.	1.	1.
hf_upper	1.	1.	0.	1.
hf_lower	1.	1.	0.	1.
med_lowerarm	1.	1.	0.	1.
med_lowerleg	1.	1.	0.	1.
cartilage	1.	1.	0.	1.
skin		1.	1.	0.	1.
blood		1.	0.	0.	1.
muscle		1.	0.	0.	1.
liver		0.	0.	1.	1.
pancreas	1.	1.	0.	1.
brain		1.	0.	0.	1.
heart		1.	0.	0.	1.
eye		.5	.5	.5	1.
kidney		1.	1.	0.	1.
stomach		0.	1.	0.	1.
intestine_sml	1.	0.	1.	1.
intestine_lrg	.5	.5	.5	1.
spleen		1.	1.	0.	1.
thyroid		1.	1.	0.	1.
bladder		1.	1.	0.	1.
ovaries_testes	1.	0.	0.	1.
adrenals	1.	1.	0.	1.
oesophagus	1.	1.	0.	1.
misc		1.	1.	0.	1.
uterus_prostate	0.	1.	1.	1.
lymph		1.	1.	0.	1.
breast_glandular	1.	1.	0.	1.
breast_adipose	1.	1.	0.	1.
lung		1.	.5	0.	1.
gastro_content	1.	1.	0.	1.
urine		1.	1.	0.	1.

