9
  3  0  4  49.7386  150.373  99.0187
  0  12  28  147.981  21.0972  110.641
  1  3  28  20.3513  -146.566  110.818
  2  13  33  -141.255  43.6408  102.346
  1  5  69  3.46392  -150.377  112.859
  3  0  49  19.0977  147.364  111.077
  0  11  103  143.116  44.6994  101.891
  1  3  40  28.2627  -148.871  108.715
  1  11  33  -44.1108  -142.736  102.183
5
  3  4  125  -12.6703  91.5218  94.6715
  1  10  60  -22.847  -150.721  110.146
  3  8  23  -43.0856  144.268  102.759
  3  8  68  -16.1594  146.573  111.63
  0  13  69  150.269  4.04504  112.841
11
  3  5  33  -17.9766  102.675  100.5
  0  8  33  98.498  4.28633  100.027
  1  3  30  31.598  -147.669  107.643
  3  8  14  -36.3804  143.587  105.792
  3  8  78  -18.7976  149.179  111.104
  0  11  112  143.77  47.7513  100.237
  3  8  24  -43.3309  145.142  102.654
  2  12  59  -147.881  7.01453  112.733
  2  5  40  -149.109  -29.1983  108.415
  3  13  68  6.83367  159.936  111.809
  3  8  10  -54.3685  143.293  96.0556
