53480 22445 31035
0.359060 0.359060 0.162810
0 -1 -21
1 10 1
1 1.1 1
-13 0 29 1 1 63
-13 4 29 1 1 54
-12 1 29 1 1 92
-12 2 29 1 1 60
-11 -7 29 1 1 73
-11 -6 29 1 1 75
-11 -3 29 1 1 81
-11 -2 29 1 1 64
-11 -1 29 1 1 108
-11 0 29 2 1 33
-11 1 29 1 1 62
-11 2 29 1 1 51
-11 4 29 1 1 95
-10 -12 29 1 1 61
-10 -10 29 1 1 76
-10 -8 29 1 1 54
-10 -7 29 1 1 56
-10 -5 29 1 1 59
-10 -4 29 1 1 59
-10 -3 29 1 1 100
-10 -2 29 1 1 88
-10 -1 29 1 1 51
-10 0 29 1 1 64
-10 4 29 1 1 74
-10 5 29 1 1 55
-9 -11 29 1 1 55
-9 -10 29 1 1 60
-9 -9 29 1 1 55
-9 -8 29 2 1 39
-9 -7 29 1 1 67
-9 -6 29 1 1 71
-9 -5 29 2 1 32
-9 -4 29 1 1 54
-9 -3 29 1 1 58
-9 -2 29 2 1 32
-9 1 29 1 1 56
-9 3 29 1 1 68
-9 4 29 1 1 55
-9 5 29 1 1 55
-8 -12 29 1 1 68
-8 -10 29 1 1 114
-8 -9 29 1 1 65
-8 -8 29 2 1 37
-8 -7 29 1 1 73
-8 -6 29 2 1 33
-8 -5 29 2 1 36
-8 -3 29 2 1 36
-8 -2 29 1 1 55
-8 0 29 1 1 51
-8 1 29 1 1 65
-8 2 29 1 1 132
-8 3 29 1 1 94
-8 6 29 1 1 54
-7 -12 29 2 1 31
-7 -9 29 1 1 60
-7 -8 29 2 1 35
-7 -7 29 2 1 42
-7 -6 29 1 1 60
-7 -5 29 1 1 51
-7 -4 29 1 1 98
-7 -3 29 2 1 50
-7 -2 29 2 1 34
-7 -1 29 1 1 66
-7 0 29 2 1 35
-7 1 29 1 1 127
-7 2 29 1 1 72
-7 3 29 2 1 41
-7 4 29 1 1 78
-7 5 29 1 1 58
-7 7 29 1 1 55
-7 8 29 1 1 71
-6 -14 29 2 1 32
-6 -13 29 1 1 64
-6 -12 29 1 1 80
-6 -8 29 1 1 52
-6 -7 29 2 1 33
-6 -6 29 2 1 34
-6 -5 29 2 1 34
-6 -4 29 2 1 36
-6 -3 29 2 1 45
-6 -2 29 2 1 46
-6 -1 29 2 1 38
-6 0 29 2 1 46
-6 1 29 2 1 37
-6 2 29 1 1 131
-6 3 29 2 1 36
-6 4 29 1 1 116
-6 5 29 1 1 82
-6 6 29 1 1 77
-6 7 29 1 1 51
-5 -13 29 1 1 51
-5 -12 29 1 1 86
-5 -11 29 1 1 77
-5 -10 29 1 1 93
-5 -9 29 1 1 58
-5 -7 29 2 1 32
-5 -5 29 1 1 72
-5 -4 29 2 1 32
-5 -3 29 2 1 38
-5 -2 29 2 1 57
-5 -1 29 2 1 54
-5 0 29 2 1 39
-5 1 29 2 1 36
-5 2 29 2 1 32
-5 3 29 2 1 33
-5 4 29 2 1 33
-5 5 29 1 1 85
-5 6 29 1 1 64
-5 7 29 1 1 53
-4 -14 29 1 1 51
-4 -12 29 1 1 66
-4 -11 29 1 1 57
-4 -10 29 1 1 67
-4 -9 29 1 1 72
-4 -7 29 1 1 64
-4 -5 29 1 1 90
-4 -4 29 1 1 80
-4 -3 29 2 1 38
-4 -2 29 1 1 79
-4 -1 29 1 1 82
-4 0 29 2 1 43
-4 1 29 2 1 48
-4 2 29 2 1 42
-4 3 29 2 1 35
-4 4 29 1 1 101
-4 5 29 1 1 77
-4 6 29 1 1 94
-4 8 29 1 1 57
-3 -18 29 1 1 114
-3 -13 29 1 1 74
-3 -12 29 1 1 59
-3 -11 29 1 1 74
-3 -9 29 1 1 71
-3 -8 29 2 1 36
-3 -7 29 2 1 36
-3 -6 29 2 1 37
-3 -5 29 1 1 54
-3 -4 29 1 1 100
-3 -3 29 2 1 38
-3 -2 29 2 1 42
-3 -1 29 2 1 42
-3 0 29 2 1 33
-3 1 29 1 1 146
-3 2 29 2 1 36
-3 3 29 1 1 112
-3 4 29 1 1 128
-3 5 29 1 1 123
-3 6 29 1 1 87
-3 8 29 1 1 59
-2 -13 29 1 1 58
-2 -12 29 1 1 53
-2 -9 29 1 1 52
-2 -7 29 2 1 42
